# time 'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'PKA()' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?' 'r'
 1.966667E+01 0 10 156 146 0 0 0 62 96 0 0 1 4 0 1980 978 0 31 11 0 0 0 0 989 42 4.527584E-02
 2.000000E+01 0 9 157 148 0 0 0 63 96 0 0 3 2 0 1968 992 0 27 13 0 0 0 0 1005 40 4.535452E-02
 2.033333E+01 0 5 161 156 0 0 0 67 96 0 0 2 2 0 1972 989 0 25 14 0 0 0 0 1003 39 4.544217E-02
 2.066667E+01 0 3 161 158 0 0 0 63 98 0 0 1 5 0 1963 1001 0 19 17 0 0 0 0 1018 36 4.556657E-02
 2.100000E+01 0 10 164 154 0 0 0 66 97 0 0 3 3 0 1958 1006 0 19 17 0 0 0 0 1023 36 4.563489E-02
 2.133333E+01 0 7 167 160 0 0 0 67 95 0 0 4 4 0 1956 1009 0 18 17 0 0 0 0 1026 35 4.562723E-02
 2.166667E+01 0 5 173 168 0 0 0 63 96 0 0 1 4 0 1963 1002 0 16 19 0 0 0 0 1021 35 4.561806E-02
 2.200000E+01 0 5 175 170 0 0 0 59 96 0 0 2 5 0 1954 1010 0 16 20 0 0 0 0 1030 36 4.563784E-02
 2.233333E+01 0 6 176 170 0 0 0 63 96 0 0 6 6 0 1940 1023 0 16 21 0 0 0 0 1044 37 4.576328E-02
 2.266667E+01 0 3 177 174 0 0 0 70 94 0 0 1 5 0 1956 1012 0 15 17 0 0 0 0 1029 32 4.587245E-02
 2.300000E+01 0 3 177 174 0 0 0 66 94 0 0 0 1 0 1959 1009 0 16 16 0 0 0 0 1025 32 4.595546E-02
 2.333333E+01 0 10 184 174 0 0 0 63 94 0 0 3 4 0 1952 1013 0 18 17 0 0 0 0 1030 35 4.608028E-02
 2.366667E+01 0 7 185 178 0 0 0 55 95 0 0 3 4 0 1959 1005 0 20 16 0 0 0 0 1021 36 4.623785E-02
 2.400000E+01 0 6 188 182 0 0 0 53 96 0 0 2 6 0 1953 1008 0 24 15 0 0 0 0 1023 39 4.650146E-02
 2.433333E+01 0 3 191 188 0 0 0 59 96 0 0 2 6 0 1958 1009 0 17 16 0 0 0 0 1025 33 4.659266E-02
 2.466667E+01 0 4 190 186 0 0 0 62 95 0 0 2 8 0 1949 1018 0 18 15 0 0 0 0 1033 33 4.676654E-02
 2.500000E+01 0 6 192 186 0 0 0 63 93 0 0 1 9 0 1973 994 0 19 14 0 0 0 0 1008 33 4.691554E-02
 2.533333E+01 0 8 196 188 0 0 0 67 92 0 0 2 6 0 1962 1003 0 20 15 0 0 0 0 1018 35 4.693373E-02
 2.566667E+01 0 8 196 188 0 0 0 70 91 0 0 4 9 0 1953 1013 0 20 14 0 0 0 0 1027 34 4.711271E-02
 2.600000E+01 0 4 198 194 0 0 0 65 91 0 0 1 9 0 1944 1021 0 19 16 0 0 0 0 1037 35 4.717813E-02
 2.633333E+01 0 8 198 190 0 0 0 63 91 0 0 3 5 0 1945 1017 0 23 15 0 0 0 0 1032 38 4.718927E-02
 2.666667E+01 0 8 200 192 0 0 0 70 90 0 0 1 3 0 1953 1006 0 25 16 0 0 0 0 1022 41 4.724702E-02
 2.700000E+01 0 6 202 196 0 0 0 69 89 0 0 2 4 0 1953 1002 0 29 16 0 0 0 0 1018 45 4.730301E-02
 2.733333E+01 0 8 202 194 0 0 0 59 87 0 0 1 6 0 1934 1017 0 32 17 0 0 0 0 1034 49 4.720046E-02
 2.766667E+01 0 10 206 196 0 0 0 64 87 0 0 4 8 0 1913 1034 0 36 17 0 0 0 0 1051 53 4.725926E-02
 2.800000E+01 0 9 205 196 0 0 0 69 84 0 0 3 9 0 1898 1039 0 43 20 0 0 0 0 1059 63 4.727982E-02
 2.833333E+01 0 8 206 198 0 0 0 64 85 0 0 5 4 0 1876 1054 0 45 25 0 0 0 0 1079 70 4.724638E-02
 2.866667E+01 0 9 211 202 0 0 0 60 85 0 0 4 7 0 1862 1062 0 53 23 0 0 0 0 1085 76 4.727568E-02
 2.900000E+01 0 6 214 208 0 0 0 62 87 0 0 5 6 0 1879 1040 0 56 25 0 0 0 0 1065 81 4.737910E-02
 2.933333E+01 0 7 215 208 0 0 0 62 92 0 0 5 4 0 1899 1023 0 53 25 0 0 0 0 1048 78 4.753428E-02
 2.966667E+01 0 7 219 212 0 0 0 64 94 0 0 4 9 0 1900 1023 0 52 25 0 0 0 0 1048 77 4.761203E-02
 3.000000E+01 0 6 222 216 0 0 0 65 94 0 0 4 7 0 1901 1024 0 50 25 0 0 0 0 1049 75 4.777731E-02
 3.033333E+01 0 6 221 215 0 0 0 69 94 0 1 6 6 0 1907 1019 0 52 22 0 0 0 0 1041 74 4.789169E-02
 3.066667E+01 0 8 220 212 0 0 0 53 94 1 0 2 7 0 1918 1011 0 50 21 0 0 0 0 1032 71 4.805142E-02
 3.100000E+01 0 10 222 212 0 0 0 65 94 0 0 3 11 0 1913 1011 0 55 21 0 0 0 0 1032 76 4.816637E-02
 3.133333E+01 0 8 224 216 0 0 0 60 94 0 0 3 14 0 1908 1017 0 48 27 0 0 0 0 1044 75 4.828420E-02
 3.166667E+01 0 5 227 222 0 0 0 67 90 0 0 4 10 0 1910 1018 0 48 24 0 0 0 0 1042 72 4.821839E-02
 3.200000E+01 0 10 234 224 0 0 0 70 87 0 0 4 10 0 1908 1015 0 54 23 0 0 0 0 1038 77 4.828631E-02
 3.233333E+01 0 10 234 224 0 0 0 56 86 0 0 10 9 0 1902 1015 0 62 21 0 0 0 0 1036 83 4.845170E-02
 3.266667E+01 0 10 237 227 0 0 0 62 85 0 3 3 9 0 1921 993 0 64 22 0 0 0 0 1015 86 4.850613E-02
 3.300000E+01 0 8 243 235 0 0 0 54 84 0 1 7 6 0 1924 984 0 66 26 0 0 0 0 1010 92 4.858506E-02
 3.333333E+01 0 5 242 237 0 0 0 72 90 1 1 7 9 0 1902 1003 0 61 34 0 0 0 0 1037 95 4.868819E-02
 3.366667E+01 0 13 247 234 0 0 0 64 89 1 0 1 11 0 1910 995 0 57 38 0 0 0 0 1033 95 4.875165E-02
 3.400000E+01 0 6 251 245 0 0 0 74 90 0 1 7 10 0 1903 1001 0 62 34 0 0 0 0 1035 96 4.876690E-02
 3.433333E+01 0 8 249 241 0 0 0 68 89 1 1 6 6 0 1915 993 0 62 30 0 0 0 0 1023 92 4.885976E-02
 3.466667E+01 0 6 251 245 0 0 0 63 88 1 1 4 10 0 1907 998 0 61 34 0 0 0 0 1032 95 4.892497E-02
 3.500000E+01 0 6 252 246 0 0 0 66 88 0 0 7 11 0 1921 983 0 62 34 0 0 0 0 1017 96 4.902361E-02
 3.533333E+01 0 4 254 250 0 0 0 64 87 0 0 5 16 0 1926 977 0 65 32 0 0 0 0 1009 97 4.898115E-02
 3.566667E+01 0 8 254 246 0 0 0 65 88 0 0 6 11 0 1907 994 0 67 32 0 0 0 0 1026 99 4.912930E-02
 3.600000E+01 0 4 250 246 0 0 0 68 89 0 0 7 13 0 1903 998 0 67 32 0 0 0 0 1030 99 4.937810E-02
 3.633333E+01 0 8 250 242 0 0 0 77 84 0 0 4 11 0 1896 1003 0 74 27 0 0 0 0 1030 101 4.937394E-02
 3.666667E+01 0 8 254 246 0 0 0 58 85 0 0 7 10 0 1883 1011 0 78 28 0 0 0 0 1039 106 4.944262E-02
 3.700000E+01 0 8 258 250 0 0 0 68 88 0 0 4 8 0 1886 1012 0 72 30 0 0 0 0 1042 102 4.944218E-02
 3.733333E+01 0 12 264 252 0 0 0 65 88 0 0 4 11 0 1875 1021 0 75 29 0 0 0 0 1050 104 4.944526E-02
 3.766667E+01 0 9 267 258 0 0 0 57 85 0 0 3 10 0 1896 1004 0 67 33 0 0 0 0 1037 100 4.955667E-02
 3.800000E+01 0 7 266 259 0 0 0 62 81 0 1 3 16 0 1904 993 0 70 33 0 0 0 0 1026 103 4.953879E-02
 3.833333E+01 0 9 270 261 0 0 0 67 81 1 1 4 12 0 1901 992 0 68 39 0 0 0 0 1031 107 4.966573E-02
 3.866667E+01 0 6 268 262 0 0 0 69 78 0 0 6 11 0 1902 980 0 73 45 0 0 0 0 1025 118 4.980131E-02
 3.900000E+01 0 8 270 262 0 0 0 61 79 0 0 12 13 0 1904 969 0 77 50 0 0 0 0 1019 127 4.979580E-02
 3.933333E+01 0 8 272 264 0 0 0 64 74 0 0 10 13 0 1903 973 0 79 45 0 0 0 0 1018 124 4.976480E-02
 3.966667E+01 0 18 270 252 0 0 0 68 75 0 0 9 16 0 1916 960 0 78 46 0 0 0 0 1006 124 4.976213E-02
 4.000000E+01 0 9 273 264 0 0 0 70 78 0 0 3 17 0 1909 964 0 83 44 0 0 0 0 1008 127 4.981092E-02
 4.033333E+01 0 8 275 267 0 0 0 62 74 0 1 8 15 0 1897 973 0 89 41 0 0 0 0 1014 130 4.990782E-02
 4.066667E+01 0 12 274 262 0 0 0 60 71 1 0 9 11 0 1889 976 0 91 44 0 0 0 0 1020 135 4.999967E-02
 4.100000E+01 0 6 277 271 0 0 0 63 71 0 1 11 14 0 1888 975 0 88 49 0 0 0 0 1024 137 5.011013E-02
 4.133333E+01 0 6 276 270 0 0 0 60 77 0 0 5 11 0 1878 984 0 92 46 0 0 0 0 1030 138 5.011325E-02
 4.166667E+01 0 2 278 276 0 0 0 66 79 0 0 8 17 0 1868 986 0 102 44 0 0 0 0 1030 146 5.011886E-02
 4.200000E+01 0 11 281 270 0 0 0 64 78 0 0 9 18 0 1855 989 0 109 47 0 0 0 0 1036 156 5.010140E-02
 4.233333E+01 0 8 283 275 0 0 0 65 80 0 1 8 12 0 1848 989 0 114 49 0 0 0 0 1038 163 5.025088E-02
 4.266667E+01 0 11 285 274 0 0 0 62 79 0 0 9 16 0 1840 993 0 118 49 0 0 0 0 1042 167 5.031869E-02
 4.300000E+01 0 3 289 286 0 0 0 69 80 0 0 5 14 0 1855 977 0 119 49 0 0 0 0 1026 168 5.032350E-02
 4.333333E+01 0 7 293 286 0 0 0 60 80 0 0 4 17 0 1852 981 0 115 52 0 0 0 0 1033 167 5.029066E-02
 4.366667E+01 0 15 293 278 0 0 0 66 74 0 0 5 15 0 1848 978 0 121 53 0 0 0 0 1031 174 5.042713E-02
 4.400000E+01 0 10 296 286 0 0 0 65 72 0 0 6 13 0 1832 986 0 122 60 0 0 0 0 1046 182 5.038591E-02
 4.433333E+01 0 7 299 292 0 0 0 64 73 0 0 11 19 0 1831 979 0 133 57 0 0 0 0 1036 190 5.051202E-02
 4.466667E+01 0 11 299 288 0 0 0 66 72 0 0 8 14 0 1827 980 0 131 62 0 0 0 0 1042 193 5.046067E-02
 4.500000E+01 0 7 301 294 0 0 0 68 70 0 0 11 21 0 1822 979 0 136 63 0 0 0 0 1042 199 5.039516E-02
 4.533333E+01 0 12 300 288 0 0 0 59 75 0 0 14 16 0 1823 973 0 133 71 0 0 0 0 1044 204 5.045035E-02
 4.566667E+01 0 4 300 296 0 0 0 62 75 0 0 9 22 0 1818 975 0 135 72 0 0 0 0 1047 207 5.052269E-02
 4.600000E+01 0 8 300 292 0 0 0 85 75 0 0 12 16 0 1817 970 0 138 75 0 0 0 0 1045 213 5.056845E-02
 4.633333E+01 0 9 303 294 0 0 0 63 74 0 0 10 19 0 1815 970 0 135 80 0 0 0 0 1050 215 5.049929E-02
 4.666667E+01 0 9 303 294 0 0 0 61 77 0 0 11 21 0 1802 972 0 145 81 0 0 0 0 1053 226 5.054694E-02
 4.700000E+01 0 9 305 296 0 0 0 71 75 0 0 13 9 0 1805 974 0 153 68 0 0 0 0 1042 221 5.060542E-02
 4.733333E+01 0 9 307 298 0 0 0 65 74 0 0 11 16 0 1825 952 0 150 73 0 0 0 0 1025 223 5.068315E-02
 4.766667E+01 0 8 306 298 0 0 0 73 73 0 0 13 20 0 1844 936 0 146 74 0 0 0 0 1010 220 5.075547E-02
 4.800000E+01 0 12 306 294 0 0 0 58 73 0 0 11 16 0 1837 949 0 146 68 0 0 0 0 1017 214 5.071652E-02
 4.833333E+01 0 11 311 300 0 0 0 56 71 0 0 14 20 0 1823 952 0 160 65 0 0 0 0 1017 225 5.070876E-02
 4.866667E+01 0 3 311 308 0 0 0 56 74 1 2 7 18 0 1818 953 0 160 69 0 0 0 0 1022 229 5.074547E-02
 4.900000E+01 0 9 309 300 0 0 0 56 75 1 0 14 15 0 1809 964 0 162 65 0 0 0 0 1029 227 5.087254E-02
 4.933333E+01 0 9 311 302 0 0 0 61 74 0 0 8 17 0 1809 951 0 170 70 0 0 0 0 1021 240 5.094831E-02
 4.966667E+01 0 11 313 302 0 0 0 66 76 0 0 10 20 0 1800 963 0 167 70 0 0 0 0 1033 237 5.091096E-02
 5.000000E+01 0 12 311 299 0 0 0 61 72 1 1 12 15 0 1798 963 0 168 71 0 0 0 0 1034 239 5.100993E-02
 5.033333E+01 0 9 315 306 0 0 0 65 71 0 0 16 20 0 1801 960 0 170 69 0 0 0 0 1029 239 5.106187E-02
 5.066667E+01 0 11 315 304 0 0 0 58 75 0 0 11 26 0 1799 960 0 170 71 0 0 0 0 1031 241 5.110329E-02
 5.100000E+01 0 8 316 308 0 0 0 78 74 0 0 8 16 0 1787 970 0 177 66 0 0 0 0 1036 243 5.109908E-02
 5.133333E+01 0 10 317 307 0 0 0 70 79 0 1 15 15 0 1802 957 0 174 67 0 0 0 0 1024 241 5.112073E-02
 5.166667E+01 0 8 318 310 0 0 0 67 81 0 0 12 16 0 1805 958 0 167 70 0 0 0 0 1028 237 5.113312E-02
 5.200000E+01 0 8 324 316 0 0 0 62 78 0 0 9 23 0 1806 958 0 167 69 0 0 0 0 1027 236 5.118076E-02
 5.233333E+01 0 3 325 322 0 0 0 64 78 0 0 10 18 0 1792 974 0 167 67 0 0 0 0 1041 234 5.113246E-02
 5.266667E+01 0 11 325 314 0 0 0 73 76 0 0 17 21 0 1785 973 0 174 68 0 0 0 0 1041 242 5.115389E-02
 5.300000E+01 0 14 328 314 0 0 0 69 75 0 0 14 24 0 1787 974 0 170 69 0 0 0 0 1043 239 5.120584E-02
 5.333333E+01 0 16 328 312 0 0 0 54 72 0 0 10 21 0 1778 990 0 165 67 0 0 0 0 1057 232 5.121077E-02
 5.366667E+01 0 11 331 320 0 0 0 70 71 0 0 12 26 0 1779 989 0 155 77 0 0 0 0 1066 232 5.128205E-02
 5.400000E+01 0 15 335 320 0 0 0 63 65 0 0 9 21 0 1779 978 0 165 78 0 0 0 0 1056 243 5.141937E-02
 5.433333E+01 0 13 337 324 0 0 0 60 70 0 0 11 21 0 1779 972 0 170 79 0 0 0 0 1051 249 5.143643E-02
 5.466667E+01 0 9 335 326 0 0 0 62 66 0 0 16 20 0 1774 967 0 181 78 0 0 0 0 1045 259 5.141465E-02
 5.500000E+01 0 13 337 324 0 0 0 57 68 0 0 15 25 0 1771 972 0 183 74 0 0 0 0 1046 257 5.142735E-02
 5.533333E+01 0 13 341 328 0 0 0 68 69 0 0 11 28 0 1770 978 0 182 70 0 0 0 0 1048 252 5.142107E-02
 5.566667E+01 0 11 337 326 0 0 0 62 75 0 0 9 22 0 1765 981 0 181 73 0 0 0 0 1054 254 5.141626E-02
 5.600000E+01 0 11 340 329 0 0 0 67 77 0 1 18 21 0 1759 987 0 179 75 0 0 0 0 1062 254 5.136300E-02
 5.633333E+01 0 5 344 339 0 0 0 59 76 0 1 11 24 0 1758 988 0 174 80 0 0 0 0 1068 254 5.142991E-02
 5.666667E+01 0 10 342 332 0 0 0 66 73 0 0 15 21 0 1756 986 0 170 88 0 0 0 0 1074 258 5.140395E-02
 5.700000E+01 0 17 343 326 0 0 0 60 76 0 0 10 25 0 1755 991 0 163 91 0 0 0 0 1082 254 5.137376E-02
 5.733333E+01 0 10 341 331 0 0 0 62 71 0 1 13 23 0 1771 976 0 161 92 0 0 0 0 1068 253 5.139160E-02
 5.766667E+01 0 19 346 327 0 0 0 66 75 0 1 15 16 0 1778 974 0 158 90 0 0 0 0 1064 248 5.143513E-02
 5.800000E+01 0 16 351 335 0 0 0 72 76 0 1 10 24 0 1781 971 0 158 90 0 0 0 0 1061 248 5.146177E-02
 5.833333E+01 0 11 354 343 0 0 0 74 73 1 1 16 24 0 1788 964 0 148 100 0 0 0 0 1064 248 5.146852E-02
 5.866667E+01 0 17 354 337 0 0 0 61 75 1 1 17 22 0 1773 972 0 162 93 0 0 0 0 1065 255 5.144309E-02
 5.900000E+01 0 9 352 343 0 0 0 63 71 1 1 16 25 0 1765 973 0 171 91 0 0 0 0 1064 262 5.146587E-02
 5.933333E+01 0 12 350 338 0 0 0 59 73 0 0 17 26 0 1775 963 0 171 91 0 0 0 0 1054 262 5.143955E-02
 5.966667E+01 0 13 351 338 0 0 0 59 77 0 0 16 31 0 1769 968 0 166 97 0 0 0 0 1065 263 5.145717E-02
 6.000000E+01 0 9 353 344 0 0 0 68 75 0 0 13 22 0 1776 961 0 165 98 0 0 0 0 1059 263 5.147621E-02
 6.033333E+01 0 17 357 340 0 0 0 60 82 0 0 17 17 0 1791 943 0 162 104 0 0 0 0 1047 266 5.144302E-02
 6.066667E+01 0 9 363 354 0 0 0 70 80 0 0 12 25 0 1778 966 0 155 101 0 0 0 0 1067 256 5.141461E-02
 6.100000E+01 0 10 366 356 0 0 0 58 71 0 0 13 22 0 1766 984 0 154 96 0 0 0 0 1080 250 5.141447E-02
 6.133333E+01 0 12 370 358 0 0 0 63 73 0 0 13 26 0 1755 994 0 155 96 0 0 0 0 1090 251 5.145132E-02
 6.166667E+01 0 15 371 356 0 0 0 72 70 0 0 11 30 0 1747 998 0 152 103 0 0 0 0 1101 255 5.147600E-02
 6.200000E+01 0 13 373 360 0 0 0 60 72 0 0 14 34 0 1739 993 0 163 105 0 0 0 0 1098 268 5.151224E-02
 6.233333E+01 0 8 373 365 0 0 0 72 69 1 1 15 29 0 1741 979 0 167 113 0 0 0 0 1092 280 5.153154E-02
 6.266667E+01 0 16 377 361 0 0 0 57 70 1 1 21 30 0 1736 978 0 175 111 0 0 0 0 1089 286 5.151305E-02
 6.300000E+01 0 20 378 358 0 0 0 62 68 0 0 10 30 0 1750 974 0 176 100 0 0 0 0 1074 276 5.153916E-02
 6.333333E+01 0 16 384 368 0 0 0 66 62 0 0 14 35 0 1763 963 0 178 96 0 0 0 0 1059 274 5.147973E-02
 6.366667E+01 0 19 385 366 0 0 0 65 60 0 0 15 26 0 1760 951 0 184 105 0 0 0 0 1056 289 5.135382E-02
 6.400000E+01 0 19 387 368 0 0 0 60 60 0 0 10 29 0 1759 951 0 187 103 0 0 0 0 1054 290 5.136475E-02
 6.433333E+01 0 11 386 375 0 0 0 68 56 0 1 13 31 0 1734 961 0 203 102 0 0 0 0 1063 305 5.135008E-02
 6.466667E+01 0 7 384 377 0 0 0 64 52 0 3 13 32 0 1735 954 0 202 109 0 0 0 0 1063 311 5.136845E-02
